word,count
news,12
antarctic,2
sea-ice,2
at,2
mind-blowing,2
low,2
alarms,2
experts,2
antarctica,2
17/09/2023,2
13.39,2
private,1
ad,1
start,1
your,5
day,3
with,1
spicy,1
cup,1
of,4
coffee,2
come,1
to,2
the,4
house,1
actual,1
until,1
23/10/2023,1
35,1
days,1
left,1
happy,4
birthday,6
wish,2
and,7
here’s,1
many,1
more,1
years,2
success,1
joy,1
may,1
all,1
beautiful,1
things,1
you’ve,1
accomplished,1
will,1
be,1
doubled,1
p.s,2
you,2
see,2
i,2
remember,2
it,2
is,2
17,1
september,1
they,5
fell,5
in,12
love,5
lost,5
each,5
other,5
south,5
america,5
then,5
a,12
note,5
stuck,5
on,5
door,5
brought,5
them,5
back,5
together,5
these,2
"6,000-year-old",2
sandals,2
found,2
spanish,2
cave,2
are,2
europe’s,2
oldest,2
shoes,2
count,2
life,1
by,2
smiles,1
not,2
tears,1
age,1
friends,1
05,1
october,1
